"x","lower","upper","y"
19.8,0.425539182992074,0.458279732338742,0.442008669853978
20,0.428544698064239,0.461324922447644,0.445033077357033
20.2,0.431579863652998,0.464322779263556,0.448037178657852
20.4,0.434556947091433,0.467342353492347,0.451020607862541
20.6,0.437480974586625,0.470335694927667,0.453982773502582
20.8,0.440364795234157,0.473336646644089,0.456922915877168
21,0.443245790769687,0.476235528398605,0.459840174659985
21.2,0.446124540251109,0.47913133878211,0.462733660306704
21.4,0.449015189567273,0.481999391036905,0.465602522695813
21.6,0.451866405878536,0.484805461464397,0.468446011145757
21.8,0.454670790941286,0.487655701478974,0.471263521318778
22,0.457459093754857,0.490461187047008,0.474054626302176
22.2,0.460198516286223,0.493245621738173,0.476819091068668
22.4,0.46293766938939,0.495960358743107,0.479556871288797
22.6,0.465645832409633,0.498715883691002,0.482268098884291
