"x","lower","upper","y"
11.6,0.0701456048702317,0.0969524672996374,0.0829933376750644
11.8,0.0716264854261183,0.098787991814803,0.0846460576502453
12,0.0731224504452395,0.100598899496507,0.0862886745252887
12.2,0.0745763955674256,0.10242126848078,0.0879214379696293
12.4,0.0760375824638676,0.10419316916821,0.0895447428393748
12.6,0.0774767978962991,0.106000805664793,0.0911590804345241
12.8,0.0789313379882198,0.107776719709261,0.092764995776535
13,0.0804341880272005,0.109535625353737,0.0943630520522619
13.2,0.0819038788081852,0.111305737745514,0.0959538025391626
13.4,0.0833463890303103,0.11303049114353,0.0975377696945175
13.6,0.0847722714495378,0.114779897217752,0.0991154306643665
13.8,0.0861975897020371,0.116509704807667,0.100687208228655
14,0.0876337897266463,0.118179099438067,0.102253466116497
14.2,0.0890371808310787,0.119839819649147,0.103814507662853
14.4,0.0904617282521497,0.121487197708016,0.105370576899807
14.6,0.0918776646661946,0.123147933022025,0.106921861352486
14.8,0.0932752566565364,0.124845528496936,0.108468496020258
15,0.0946902705029274,0.126476906889802,0.110010568255768
15.2,0.0961572903892565,0.128040615862104,0.111548123502376
15.4,0.0975287008478978,0.129749304085573,0.113081172112585
15.6,0.0988979395770894,0.131407753366822,0.114609697741472
15.8,0.100294418142753,0.133059595856398,0.116133668075337
16,0.101681139429011,0.134648919742726,0.117653048884553
16.2,0.103082222822621,0.136252824311467,0.11916782252598
16.4,0.104514811610631,0.13787415691644,0.120678011986309
16.6,0.105888499226685,0.139480114872854,0.122183711260976
16.8,0.107254027569407,0.141098504241621,0.12368512221629
17,0.108639845726137,0.142692118051573,0.125182597031492
17.2,0.110028895104674,0.144353995811367,0.126676683877819
17.4,0.111405670453741,0.14593896480577,0.128168171778991
17.6,0.112753285334775,0.147561738741717,0.129658128845165
17.8,0.114165869555239,0.1491238670891,0.131147926621552
18,0.115561915053566,0.150708667059748,0.132639242549655
18.2,0.116920283379786,0.152324774064561,0.134134032897869
18.4,0.118310345202017,0.153912755269384,0.135634470263367
18.6,0.119752929955718,0.155580143538832,0.137142842955004
18.8,0.12121653296123,0.157254161988753,0.138661418033303
19,0.122687245187556,0.158821574695393,0.140192275004997
19.2,0.124142954022422,0.160484056171775,0.141737122391775
19.4,0.12554576632198,0.162176424141158,0.143297113727363
19.6,0.127106215362549,0.163774092127111,0.144872682126337
19.8,0.128622020299133,0.165453079729541,0.146463412764904
20,0.130128525402429,0.16717289389941,0.148067970133486
