"","response.id","shape","scale","error","convergence","p10year","p50year","p90year","x10prob","x20prob","x40prob","x50prob"
"723","R_pbMErD3nTJMZ3jz",3.42322583503363,92.395839589904,0.0389745290056329,0,126.332203645297,286.083847178553,545.518061606303,4.34913685046456e-05,0.000429308362817693,0.00390410964704365,0.00772074870781325
"724","R_pueIjMc6kXuBEiJ",1.18188142926743,296.297656133657,0.012318466915223,0,48.9979271353703,257.840715331916,773.743065450419,0.0163987089719584,0.0365350553519054,0.0799547650210035,0.102238635991198
"725","R_purUSdPQJa2tjZT",2.89681184181309,194.003061981939,0.00165495535161039,0,201.606675508244,498.813893121595,1004.67136142119,3.39093822133512e-05,0.000243093717316847,0.00167799912066422,0.00308380354786048
"726","R_qEpeT8Bbs9rYInf",6.29590432617843,6.53758306494223,0.0276024721800924,0,22.0285826920826,39.0025155948387,63.0807432680759,0.00313212556722481,0.0698460952561854,0.524811567795401,0.737497803506215
"727","R_qRcWV15no5mMY7v",0.588415753031568,22764.3954321284,0.00168106914389384,0,378.598902884044,6949.28252130984,34990.4551981875,0.0118569768763391,0.017825187370521,0.0267931389432873,0.0305475466254634
"728","R_rfnrcLYpMolEerL",1.23341468396647,54.3079397745821,0.0577350168220412,0,10.0026457221475,49.9993704649916,146.450551687893,0.0999699976275833,0.213157333195356,0.415419980797976,0.500004976278349
"729","R_rjwbXFqIZYruAXD",1.24699073703652,138.08355109154,0.0242626131838362,0,26.1340176213941,128.966302932739,375.448951734199,0.0321663646027093,0.0733820449421509,0.161104429910234,0.204778352468088
"730","R_rqIEqEChZpRaeI1",2.69752192623195,8.12055569928153,0.029368621634035,0,7.47113352963916,19.2661067028463,39.7811850161673,0.177625433144421,0.523381617747094,0.901916900987838,0.960754280238435
"731","R_rr8NUA8pQGpHuiR",1.26915144774066,66.3342855220942,0.0335681813720708,0,13.1114695206746,63.3964304885332,182.772503912849,0.0727457231592833,0.161571441371568,0.332422011540765,0.40874742449043
"732","R_sBAqMRiwGbQFUzf",0.736681364440811,77.2591622952127,0.0285125190078667,0,3.08165503825957,34.1229780024825,141.153741814938,0.229297504373017,0.362479224384248,0.545982077498692,0.613143015454121
